user,cluster
2,10
4,7
5,10
7,1
8,1
9,4
12,3
16,11
17,1
19,1
20,1
21,1
22,1
23,8
25,4
26,1
27,1
28,0
29,1
30,8
33,1
34,1
35,1
36,1
38,3
39,8
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,8
49,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,8
59,1
60,1
61,7
62,1
63,4
64,1
65,1
66,1
67,1
68,1
78,1
79,1
80,1
93,1
102,1
103,1
104,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
116,0
117,1
118,1
119,1
120,1
121,1
122,1
123,8
125,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
146,1
147,1
154,1
452,0
589,8
704,5
768,1
866,1
1321,1
1383,1
1804,1
1938,5
2191,11
2674,1
3087,4
3264,1
3450,9
4930,9
5053,8
5555,1
6002,8
6092,1
6449,9
6847,1
6868,1
7233,3
7359,1
7420,11
7438,8
7442,1
7458,11
7575,9
7702,3
7764,2
7789,11
7909,10
7928,1
8030,0
8059,11
8075,0
8805,1
9954,1
10215,1
10694,9
11633,1
12273,3
12462,1
12833,1
12834,1
13224,1
13365,1
13944,0
14010,8
14030,11
14322,1
14392,1
14811,1
15055,11
15508,1
15577,1
15662,4
16030,1
16164,5
16941,8
16951,8
16963,9
16982,1
18040,0
18169,4
18508,1
19496,1
19661,4
20292,9
20833,4
20948,8
21475,1
21577,7
21709,11
21750,4
22492,11
22708,1
23641,1
23794,1
23877,2
24234,4
24632,1
24743,5
24868,1
25618,1
26339,4
26454,8
26609,1
28895,1
29733,1
29962,1
30031,7
30155,1
30281,1
30958,8
31000,3
31054,1
32009,11
32318,1
32331,1
32444,4
32658,9
32917,0
32936,8
32975,1
33218,1
33357,4
33474,8
33565,11
34038,1
34074,7
34572,4
35928,11
36235,1
36321,7
36485,1
36585,9
37444,1
37451,4
37465,4
37688,1
37892,1
37936,4
38699,1
38951,1
39340,1
39919,8
40303,4
40562,1
40661,1
41727,4
41881,1
42044,1
42266,1
42433,1
42528,1
43309,3
43341,2
43567,8
43704,4
44318,1
44500,3
44577,1
44857,5
45457,8
45929,3
46170,9
46272,3
46326,9
46628,8
47459,8
47460,8
47574,8
48871,8
49313,1
49319,1
49400,1
49508,1
50348,1
50494,4
50667,1
50831,7
51452,1
51937,3
52091,1
52262,0
52917,4
53270,8
53345,8
54439,6
55117,1
55937,1
55958,3
56047,1
56882,4
56991,11
57052,9
58646,11
58895,1
58969,4
59042,1
59106,1
59486,1
59791,11
60054,11
60465,1
61658,1
61664,1
61747,8
62816,9
63000,11
63535,5
64056,1
64209,1
64321,1
64634,1
64669,1
64753,1
65093,1
65118,4
65307,8
65475,1
65761,9
66190,1
66648,2
66779,5
67196,9
67201,4
67305,4
68209,9
69124,4
69129,1
69649,1
69687,1
69955,4
70221,8
70434,1
70452,11
70612,1
70733,1
70934,8
72417,1
72482,4
72586,8
72632,1
72806,1
73271,9
73328,11
73345,11
73425,8
73660,8
73922,1
74781,0
74799,8
74945,1
74982,1
75103,1
75228,8
75362,1
75368,10
75692,9
76145,5
76232,8
76242,1
76244,1
76391,4
76432,8
76858,4
76944,1
77114,1
77247,1
77325,4
77474,1
77479,1
77747,11
78170,8
78644,1
79064,1
79582,1
79620,1
79633,0
79759,11
80010,4
80186,4
80219,1
80360,4
80596,8
81341,8
81700,1
81910,4
82579,1
82719,3
82787,1
82804,1
82963,0
83378,1
83447,4
83795,7
83817,11
84146,1
84148,1
84430,11
84433,8
85085,5
85625,4
85746,8
85940,9
86171,4
86305,1
86366,10
86548,8
86587,1
86648,1
86996,1
87460,4
87486,1
87533,0
87969,1
88085,1
88121,1
88202,1
88273,1
88421,1
90144,1
90850,0
90934,4
91071,1
91117,1
91242,8
91539,3
91852,1
92073,0
92472,8
92538,1
92806,4
92922,1
92990,4
93025,4
93228,9
93299,1
94135,1
94272,1
94604,1
94815,1
94853,11
95333,8
96035,1
96046,4
96961,1
96962,4
96995,1
97204,4
97254,1
97822,0
97915,4
98282,1
98471,1
98782,8
99234,7
99909,1
99954,8
100209,1
100274,9
100566,2
100638,1
100697,1
100942,1
101000,9
101367,1
101585,8
101628,1
101774,4
101802,7
102140,1
102360,2
102546,1
102568,1
102599,4
102689,1
102696,1
103036,9
103066,4
103234,1
103645,1
103968,5
104249,1
104394,4
105018,1
105163,5
105241,1
105467,1
105564,8
105794,8
106397,4
107179,5
107320,1
107634,9
107736,1
107882,9
108331,4
108541,4
108647,1
109351,1
109395,8
109445,4
109580,9
109673,1
109678,8
109711,7
109915,9
110030,1
110319,11
110519,4
110877,1
111049,7
112224,1
112225,1
113822,1
113910,2
114249,8
114398,9
115123,8
115500,1
115638,1
115921,7
116132,1
116174,9
116366,1
117569,2
117635,1
117789,4
117816,4
117831,2
117849,1
117876,1
118927,0
119014,9
119617,4
119644,1
119904,1
120240,4
120443,1
120622,9
120796,3
121300,1
121543,1
121657,1
121749,4
121751,3
121943,3
122122,1
122962,4
123033,1
123234,3
123343,1
123412,4
124060,1
124210,1
124271,1
124515,8
124606,5
124716,9
124729,5
124774,8
125262,4
125267,11
125440,7
125493,1
125668,4
126106,0
126613,1
126632,10
128463,5
128707,4
128853,4
129117,4
129269,3
129624,1
129727,4
129732,1
129965,11
130101,1
130213,1
130217,11
130256,3
130477,11
130563,3
130589,4
130787,4
130816,1
131799,4
132537,11
132543,2
132821,0
132827,4
133051,1
133246,0
133318,8
133441,11
133763,1
134409,11
134646,1
134697,1
135243,1
135937,1
135970,1
136152,4
136350,1
136666,1
136675,1
136944,11
137278,8
137381,9
137541,8
137629,1
137735,8
137901,1
138046,1
138087,5
138320,4
138452,0
138485,1
138528,3
138664,4
138759,4
138848,1
138903,3
138916,4
138939,11
139107,4
139211,5
139233,11
139505,1
139584,2
139739,1
139748,1
139818,10
139829,1
140424,8
140760,0
141000,9
141128,2
141193,9
141484,11
141624,11
142368,1
142391,4
142685,1
143623,1
143660,11
143871,7
144117,1
144438,4
144669,11
145000,2
145074,1
145102,1
145369,7
145641,11
145790,7
146229,9
147000,3
147164,1
147400,8
147623,4
147671,1
148055,8
148135,4
148487,1
148622,4
149373,11
149382,1
149690,4
150230,4
150373,4
150419,11
150426,1
151494,4
151502,1
151584,1
151817,10
151987,11
152320,9
152398,1
152432,1
152613,5
153173,1
153803,1
153883,4
153966,1
154139,5
154394,10
154453,1
154589,7
154610,1
154922,1
155199,7
155206,8
155490,5
155724,7
156350,4
156370,1
156434,8
156730,4
156848,1
156860,3
157085,1
157230,5
157420,11
157438,4
157573,11
157758,8
157813,1
158249,1
158336,1
158514,4
158838,1
158905,8
159040,8
159518,1
159737,3
160015,4
160156,3
160962,9
161018,1
161151,1
161420,1
161454,7
161471,8
161608,8
161841,4
161857,3
162078,8
162373,11
162428,11
162442,0
162455,8
163586,4
163602,5
163731,4
163739,11
163927,1
164042,1
164150,8
164300,0
164979,4
165124,3
165209,3
165324,0
165458,0
165807,1
165874,4
166059,0
166365,1
166398,1
166523,8
166570,1
166699,1
166937,9
167078,1
167626,5
168999,4
169142,1
169472,9
169637,1
169798,8
169987,11
170036,11
170327,9
170474,1
170740,8
171084,4
171298,1
172063,1
172084,8
172245,11
172326,1
172551,8
173127,0
173164,4
173257,1
173635,0
173982,4
174260,1
174315,3
174418,1
174573,8
174890,4
175100,1
175118,1
175261,1
175293,1
175362,1
175455,4
175646,1
175715,0
175893,1
175921,4
175928,1
175946,11
175987,8
176714,2
176742,5
176858,4
177215,1
177477,8
177647,1
177666,11
177687,1
177772,1
178210,1
178919,1
179023,1
179213,1
179272,1
179356,1
179755,4
179777,1
180038,1
180624,1
181002,1
181124,4
181324,0
181401,5
181700,7
182039,0
182289,8
182505,4
182509,11
182699,0
182752,4
182788,8
182808,5
182837,4
182847,1
183396,0
184092,2
184189,1
184259,4
184690,1
184880,0
185017,8
185072,0
185438,3
185857,4
186048,9
186106,4
186608,7
186756,9
186875,1
187017,8
187184,1
187262,1
187279,8
187516,9
187819,2
187955,4
188044,11
188144,1
188947,10
189131,4
189172,4
189175,1
189192,1
189256,5
189426,3
189455,4
189802,10
189913,8
190195,1
190432,1
190579,2
190671,1
190817,11
190930,4
191197,4
191645,1
191776,4
191887,1
191921,1
191933,4
192081,0
192315,8
192333,9
192997,8
193204,1
193310,1
193528,7
193611,1
193620,1
193652,3
194223,9
194480,7
194822,1
195188,1
195287,1
195602,8
195609,7
195613,1
195824,1
195892,9
195976,1
196058,8
196709,8
196746,4
196790,0
196806,4
197189,4
197206,4
197218,8
198074,8
198492,8
198689,0
198691,11
199016,0
199198,1
199357,1
199489,4
200180,3
200396,8
200762,11
201282,4
201371,8
201737,1
202244,8
202365,7
202693,0
202721,1
203388,11
203703,3
204047,4
204056,8
204095,1
204355,1
204451,3
204653,5
204657,1
204680,0
204745,4
205130,1
205132,3
205331,1
205538,1
206419,1
206831,9
206962,1
207048,3
207227,1
207443,3
207613,4
207767,11
208361,1
208700,3
209002,8
209257,10
209266,1
209558,0
209646,1
209738,8
209900,8
209929,1
210117,1
210149,4
210423,8
210581,4
210831,1
211093,8
211105,8
211118,1
211325,1
211330,1
211375,0
211420,3
211683,1
211995,4
212040,8
212424,11
212936,1
213427,0
213673,1
214645,0
215171,1
215363,1
215376,1
215571,0
215694,4
215982,9
216066,1
216253,8
216458,1
217612,1
217818,0
218584,11
218617,1
218774,2
218810,0
218927,9
218982,4
219007,1
219201,8
219396,4
219453,1
219503,4
219724,4
219733,1
219831,2
219886,1
219935,8
220065,1
220688,4
220851,1
221062,1
221140,5
221232,1
221401,9
221548,8
223477,1
223512,4
223526,1
223583,4
223676,4
223704,8
223836,0
224055,0
224206,4
224246,2
224331,4
224562,1
224714,3
224768,1
224842,8
225133,4
226391,1
226516,8
226549,1
226573,1
226598,1
226727,1
226862,11
226905,1
226959,4
227009,1
227137,8
227239,8
227280,4
227459,0
227488,11
228088,4
228478,8
228684,4
228766,8
228978,1
229205,4
229371,1
229423,8
